VisitDuration,PagesVisited,ItemsViewed,DeviceType,AdClicks,CartAdds,Age,Gender,Loc_Burnaby,Loc_Downtown,Loc_Kitsilano,Loc_New Westminster,Loc_Surrey,Purchase
0.5488135039273248,12,2,0,5,0,35,1,True,False,False,False,False,1
0.7151893663724195,16,2,1,0,0,43,0,True,False,False,False,False,1
0.6027633760716439,5,4,1,5,0,18,0,True,False,False,False,False,1
0.5448831829968969,18,7,0,2,0,21,0,False,False,False,False,True,1
0.4236547993389047,13,6,1,4,2,33,1,False,False,False,True,False,1
0.6458941130666561,13,11,0,5,0,33,1,True,False,False,False,False,1
0.4375872112626925,17,3,0,3,0,35,0,False,False,True,False,False,1
0.8917730007820798,3,2,0,3,1,16,0,False,False,False,False,True,1
0.9636627605010293,6,4,1,0,3,22,1,False,False,False,False,True,1
0.3834415188257777,3,14,1,2,1,24,0,False,False,True,False,False,1
0.7917250380826646,20,3,0,2,3,37,0,False,False,True,False,False,1
0.5288949197529045,16,12,0,5,2,30,0,False,True,False,False,False,1
0.5680445610939323,7,2,1,0,2,37,0,False,False,False,True,False,1
0.925596638292661,5,15,0,4,3,16,1,False,True,False,False,False,1
0.07103605819788694,10,10,0,3,0,33,1,False,True,False,False,False,1
0.08712929970154071,16,13,0,0,3,20,0,False,False,True,False,False,1
0.02021839744032572,1,10,0,1,1,28,0,True,False,False,False,False,1
0.832619845547938,11,12,1,0,1,42,0,False,False,False,False,True,1
0.7781567509498505,17,10,0,3,1,33,1,True,False,False,False,False,1
0.8700121482468192,3,1,1,4,0,29,0,True,False,False,False,False,1
0.978618342232764,18,13,0,1,1,38,0,False,False,False,False,True,1
0.7991585642167236,15,10,1,1,2,37,1,False,False,False,True,False,1
0.46147936225293185,6,10,0,5,3,18,0,True,False,False,False,False,1
0.7805291762864555,6,13,1,1,3,43,0,False,False,False,False,True,1
0.11827442586893322,3,15,0,3,2,26,0,False,False,False,False,True,1
0.6399210213275238,4,1,0,5,0,33,0,False,True,False,False,False,1
0.1433532874090464,12,6,0,5,0,32,1,True,False,False,False,False,1
0.9446689170495839,20,5,1,0,3,43,1,True,False,False,False,False,1
0.5218483217500717,14,12,0,5,0,50,0,False,False,False,True,False,1
0.4146619399905236,4,4,1,5,3,16,1,True,False,False,False,False,1
0.26455561210462697,6,9,0,2,0,31,0,True,False,False,False,False,1
0.7742336894342167,2,10,1,5,3,21,1,False,False,False,False,True,1
0.45615033221654855,9,13,1,3,1,25,0,False,False,False,False,True,1
0.5684339488686485,8,3,1,3,2,23,0,False,True,False,False,False,1
0.018789800436355142,8,1,0,5,1,42,1,False,False,False,False,True,1
0.6176354970758771,2,13,1,3,1,32,1,True,False,False,False,False,1
0.6120957227224214,10,5,0,2,2,43,0,False,True,False,False,False,1
0.6169339968747569,16,9,1,5,1,18,0,True,False,False,False,False,1
0.9437480785146242,14,11,0,3,3,37,1,False,True,False,False,False,1
0.6818202991034834,1,4,1,2,3,33,0,False,False,True,False,False,1
0.359507900573786,5,14,1,1,3,38,0,False,False,False,True,False,1
0.43703195379934145,1,14,1,0,3,30,1,False,False,False,True,False,1
0.6976311959272649,12,12,1,3,0,45,1,False,True,False,False,False,1
0.06022547162926983,20,10,0,2,3,30,1,False,False,True,False,False,1
0.6667667154456677,4,8,1,1,1,42,0,False,False,False,False,True,1
0.6706378696181594,5,6,0,4,0,23,1,True,False,False,False,False,1
0.2103825610738409,16,14,1,0,1,38,0,False,False,False,True,False,1
0.1289262976548533,18,2,0,5,0,49,1,True,False,False,False,False,1
0.31542835092418386,11,14,0,4,0,22,0,True,False,False,False,False,1
0.3637107709426226,17,4,0,0,1,29,0,False,True,False,False,False,1
0.5701967704178796,7,11,1,3,2,43,0,False,True,False,False,False,1
0.43860151346232035,3,1,1,5,3,45,0,True,False,False,False,False,1
0.9883738380592262,18,5,0,2,2,37,1,False,True,False,False,False,1
