Date,Sales
2024-01-01,200.0
2024-01-02,199.3086784941441
2024-01-03,202.8236497869899
2024-01-04,209.30933915423407
2024-01-05,204.41483661892374
2024-01-06,201.47821718660833
2024-01-07,208.78299438950194
2024-01-08,209.1069702794657
2024-01-09,203.1168102380047
2024-01-10,204.58288636073263
2024-01-11,200.43264335237726
2024-01-12,197.93093724357507
2024-01-13,199.96837370397523
2024-01-14,190.41462299909617
2024-01-15,185.62418463689252
2024-01-16,188.56307313593064
2024-01-17,188.07368827988626
2024-01-18,194.4154496309081
2024-01-19,192.1091494009388
2024-01-20,188.20397113388682
2024-01-21,200.2506265249399
2024-01-22,199.02149441253127
2024-01-23,199.75053767095838
2024-01-24,192.72658167150774
2024-01-25,192.91403538027873
2024-01-26,196.30303417671658
2024-01-27,192.02685261891844
2024-01-28,197.09460166307943
2024-01-29,195.25356754825364
2024-01-30,195.69367177998578
2024-01-31,194.40767000684448
2024-02-01,205.90599292665138
2024-02-02,203.47610963230116
2024-02-03,196.79711113460118
2024-02-04,202.19099124127666
2024-02-05,195.2103764949109
2024-02-06,198.1705438719703
2024-02-07,189.10397570378328
2024-02-08,186.8214551777778
2024-02-09,193.0771792860123
2024-02-10,199.53864047158444
2024-02-11,200.58002568890052
2024-02-12,199.7697740013991
2024-02-13,198.356345922893
2024-02-14,191.62119760189867
2024-02-15,191.37349751916565
2024-02-16,192.52090465670045
2024-02-17,200.79815392511486
2024-02-18,202.19698380291123
2024-02-19,192.50298950493308
2024-02-20,197.12221354993383
2024-02-21,196.34791672787873
2024-02-22,194.42414003519747
2024-02-23,199.71286546532284
2024-02-24,204.98271689167345
2024-02-25,207.64603073058507
2024-02-26,200.39153082223783
2024-02-27,198.6888566140866
2024-02-28,200.86963112546977
2024-02-29,205.39950431089366
2024-03-01,200.84383139730974
2024-03-02,199.57800395506675
2024-03-03,194.2151275030099
2024-03-04,190.54804338140258
2024-03-05,198.39145514081252
2024-03-06,205.81607322734163
2024-03-07,203.12959332850332
2024-03-08,206.8954204865621
2024-03-09,205.94543241717545
2024-03-10,200.34166067727966
2024-03-11,202.01197443390987
2024-03-12,208.89736749267576
2024-03-13,205.1592903000557
2024-03-14,210.91879245910346
2024-03-15,193.45254995501335
2024-03-16,200.18104249488414
2024-03-17,200.54386083812133
2024-03-18,198.83127975054347
2024-03-19,199.75757173300357
2024-03-20,189.91669846679767
2024-03-21,192.85165964089103
2024-03-22,197.49655864209336
2024-03-23,205.8874054089636
2024-03-24,200.9410921540099
2024-03-25,196.52218727794002
2024-03-26,195.40452714884134
2024-03-27,201.81972687781519
2024-03-28,202.73559167498755
2024-03-29,198.99255398615733
2024-03-30,201.96186955726117
2024-03-31,201.6625094810969
2024-04-01,205.84073064132258
2024-04-02,199.9941729154068
2024-04-03,198.35819301625526
2024-04-04,197.05437504409235
2024-04-05,190.91505028579482
2024-04-06,196.02963155679976
2024-04-07,198.92305529497932
2024-04-08,199.3794004601999
2024-04-09,198.4547046092442
2024-04-10,191.99596905529447
2024-04-11,193.0943548193499
2024-04-12,194.14304030897608
2024-04-13,192.47443783927756
2024-04-14,194.67823414523647
2024-04-15,198.82719477121458
2024-04-16,208.7272463687814
2024-04-17,206.10923688542803
2024-04-18,204.95329408487063
2024-04-19,202.59974687209154
2024-04-20,191.96599204675974
2024-04-21,195.04702585080975
2024-04-22,197.32936656019098
2024-04-23,210.713830498541
2024-04-24,205.46649347521898
2024-04-25,204.78763279679944
2024-04-26,202.69902082955343
2024-04-27,195.7760223096344
2024-04-28,203.17972745835576
2024-04-29,205.66750163844733
2024-04-30,207.35566071828364
2024-05-01,199.86645915699648
2024-05-02,206.9338470488784
2024-05-03,197.15105291536563
2024-05-04,201.22491721822072
2024-05-05,211.68722845998232
2024-05-06,202.05965545033595
2024-05-07,198.40430462218774
2024-05-08,199.54083959875084
2024-05-09,197.2071254886695
2024-05-10,190.57095813787106
2024-05-11,194.68538975675276
2024-05-12,191.49971528542113
2024-05-13,197.2677913244286
2024-05-14,193.76355362348815
2024-05-15,204.00780419918058
2024-05-16,198.48841605782718
2024-05-17,197.48274205366795
2024-05-18,202.5572313190491
2024-05-19,195.38001720925968
2024-05-20,198.36530999857644
2024-05-21,205.554899770558
2024-05-22,195.29552368952866
2024-05-23,198.10048350637874
2024-05-24,200.15970407506938
2024-05-25,204.00493680392816
2024-05-26,196.2182085279665
2024-05-27,191.12864205135853
2024-05-28,197.2868930588996
2024-05-29,199.8570592015057
2024-05-30,201.1666997726328
2024-05-31,202.43226091106456
2024-06-01,198.05923293874628
2024-06-02,199.99680824905278
2024-06-03,201.46344731592507
2024-06-04,197.30631129942321
2024-06-05,207.7126593353777
2024-06-06,206.99676020578556
2024-06-07,198.2415386374581
2024-06-08,202.227691225644
2024-06-09,196.4632063842498
2024-06-10,201.81334684926213
2024-06-11,206.8809860045943
2024-06-12,200.02518001099804
2024-06-13,204.83198865282046
2024-06-14,204.96309782637476
2024-06-15,207.0881594957973
2024-06-16,213.73686061074812
2024-06-17,207.01517578643453
2024-06-18,200.44042465007325
2024-06-19,195.81668264191634
2024-06-20,193.41095816032262
2024-06-21,195.66106634912305
2024-06-22,199.10239968355705
2024-06-23,200.84489380678434
2024-06-24,204.64285252925072
2024-06-25,202.85072097693995
2024-06-26,208.97810297195053
2024-06-27,204.06357761698055
2024-06-28,216.03899240313643
2024-06-29,212.75173218070688
2024-06-30,203.36525152634272
2024-07-01,196.66468842550006
2024-07-02,200.41117513151596
2024-07-03,199.1293911522803
2024-07-04,203.04763716182865
2024-07-05,204.19477041996493
2024-07-06,202.1527176886946
2024-07-07,197.05766202287475
2024-07-08,190.6603610902955
2024-07-09,192.1636418938422
2024-07-10,199.58017910792267
2024-07-11,200.81857618540462
2024-07-12,194.26245181768283
2024-07-13,197.42337571986562
2024-07-14,200.38061233056357
2024-07-15,195.80908021733248
2024-07-16,198.25407366012712
2024-07-17,199.24348778830628
2024-07-18,193.83124118383066
